data2,date
233.916,1/1/14
234.781,2/1/14
236.293,3/1/14
237.072,4/1/14
237.900,5/1/14
238.343,6/1/14
238.250,7/1/14
237.852,8/1/14
238.031,9/1/14
237.433,10/1/14
236.151,11/1/14
234.812,12/1/14
236.384,1/1/15
237.088,2/1/15
233.707,3/1/15
234.722,4/1/15
236.119,5/1/15
236.599,6/1/15
237.805,7/1/15
238.638,8/1/15
238.654,9/1/15
238.316,10/1/15
237.945,11/1/15
237.838,12/1/15
237.336,1/1/16
236.525,2/1/16
236.265,3/1/16
237.769,4/1/16
236.916,5/1/16
237.111,6/1/16
238.132,7/1/16
239.261,8/1/16
240.229,9/1/16
241.018,10/1/16
240.628,11/1/16
240.849,12/1/16
241.428,1/1/17
241.729,2/1/17
241.353,3/1/17
241.432,4/1/17
238.778,5/1/17
241.237,6/1/17
242.839,7/1/17
243.603,8/1/17
243.801,9/1/17
244.524,10/1/17
244.733,11/1/17
244.955,12/1/17
244.786,1/1/18
245.519,2/1/18
246.819,3/1/18
246.663,4/1/18
246.669,5/1/18
246.524,6/1/18
244.076,7/1/18
246.163,8/1/18
247.867,9/1/18
248.991,10/1/18
249.554,11/1/18
250.546,12/1/18
251.588,1/1/19
251.989,2/1/19
252.006,3/1/19
252.146,4/1/19
252.439,5/1/19
252.885,6/1/19
252.038,7/1/19
251.233,8/1/19
250.089,9/1/19
252.125,10/1/19
251.712,11/1/19
252.776,12/1/19
254.202,1/1/20
255.548,2/1/20
256.092,3/1/20
256.143,4/1/20
256.571,5/1/20
256.558,6/1/20
256.759,7/1/20
257.346,8/1/20
257.208,9/1/20
256.974,10/1/20
254.412,11/1/20
256.903,12/1/20
257.971,1/1/21
258.678,2/1/21
258.115,3/1/21
256.389,4/1/21
256.394,5/1/21
257.797,6/1/21
259.101,7/1/21
259.918,8/1/21
260.280,9/1/21
260.388,10/1/21
260.229,11/1/21
260.474,12/1/21
257.557,1/1/22
260.065,2/1/22
261.582,3/1/22
263.014,4/1/22
264.877,5/1/22
267.054,6/1/22
269.195,7/1/22
271.696,8/1/22
273.003,9/1/22
273.567,10/1/22
274.310,11/1/22
276.589,12/1/22
277.948,1/1/23
278.802,2/1/23
266.236,3/1/23
275.703,4/1/23
281.148,5/1/23
283.716,6/1/23
287.504,7/1/23
289.109,8/1/23
292.296,9/1/23
296.311,10/1/23
296.276,11/1/23
296.171,12/1/23
296.808,1/1/24
298.012,2/1/24
297.711,3/1/24
296.797,4/1/24
288.347,5/1/24
296.963,6/1/24
299.170,7/1/24
300.840,8/1/24
301.836,9/1/24
303.363,10/1/24
304.127,11/1/24
305.109,12/1/24
305.691,1/1/25
307.026,2/1/25
307.789,3/1/25
307.671,4/1/25
307.051,5/1/25
306.746,6/1/25
302.408,7/1/25
306.996,8/1/25
308.417,9/1/25
310.326,10/1/25